time,phase,p,q
1672533180,A,-216633.73836430162,-7767.070522949667
1672533180,B,-109805.32251856886,43755.691769282785
1672533180,C,-117765.65014904359,93666.80927500605
1672533240,A,-214008.78479810938,-39459.22972223086
1672533240,B,-118047.57140014866,7335.258337130266
1672533240,C,-137559.51893951357,62229.41625334714
1672533300,A,-214488.0870447993,-36741.516280198906
1672533300,B,-118031.10502441209,8044.249950516663
1672533300,C,-136840.6253826373,63855.20989810958
1672533360,A,-207859.1219788534,55739.01801117442
1672533360,B,-65812.23792651955,98097.23406240766
1672533360,C,-60244.93637974839,136915.51909109057
1672533420,A,-209203.4348709995,50994.67470358571
1672533420,B,-70438.53412089955,94840.62247020207
1672533420,C,-65447.10172416613,134588.80652371622
1672533480,A,-216622.2849293246,-12439.03325217049
1672533480,B,-112728.98807121452,35729.453027353295
1672533480,C,-122239.35319575653,88018.45074236902
1672533540,A,-205473.60928998428,63290.94989974062
1672533540,B,-58069.31719452361,102854.65382977569
1672533540,C,-51707.94997376877,140235.84988188103
1672533600,A,-216677.42956638124,-834.9170112085425
1672533600,B,-107940.67914152356,48248.10778119958
1672533600,C,-113772.31479982678,98448.59088499658
1672533660,A,-232535.79422981566,39299.28669092214
1672533660,B,-132004.84053408293,-5388.356442079126
1672533660,C,-35533.20128797548,-165616.31059464137
1672533720,A,-235087.99465611117,23374.661947519005
1672533720,B,-130083.12140831769,-23470.856838214335
1672533720,C,-17746.457155702363,-168711.55624554414
1672533780,A,-233349.14305814647,34919.70273630683
1672533780,B,-131723.48814258128,-10403.494809293654
1672533780,C,-30657.54261662462,-166659.997362015
1672533840,A,-210241.12034347007,102979.82706133736
1672533840,B,-113335.4243286337,67347.32589161808
1672533840,C,-103212.96002806668,-132959.5882054796
1672533900,A,-235872.21566158131,16251.686329483715
1672533900,B,-128433.75104853364,-31391.533075033152
1672533900,C,-9758.23712264624,-169476.19528404818
1672533960,A,-216269.35586325385,90543.72352498531
1672533960,B,-120508.14882728775,53601.11591691579
1672533960,C,-90704.37848373665,-142044.88707824057
1672534020,A,-228131.5086922426,57824.544081604094
1672534020,B,-131058.240904472,16027.533098738206
1672534020,C,-55966.50597355165,-159552.6096831864
1672534080,A,-218902.4891261568,84448.2328331628
1672534080,B,-123370.08310688642,46714.51077137803
1672534080,C,-84411.14686528979,-145992.98337130246
1672534140,A,-236700.6251726007,-16543.822670022215
1672534140,B,-114838.11476273161,-65809.19850806132
1672534140,C,26929.04812694645,-168140.89856208465
1672534200,A,-234988.99071607005,24153.38381957338
1672534200,B,-130234.21764251601,-22597.740769524644
1672534200,C,-18618.224549666982,-168604.87804170244
1672534260,A,-260007.8627578273,40814.75004994592
1672534260,B,-77745.34812619825,-132239.3527059502
1672534260,C,160112.33632216262,113200.67475322892
1672534320,A,-263990.2638982057,-20268.12527570451
1672534320,B,-14912.682553244913,-153089.37793393797
1672534320,C,114273.29029027246,160611.31560494908
1672534380,A,-259257.38567340438,44741.063662912595
1672534380,B,-81441.50924761407,-129964.26689221451
1672534380,C,162510.49536568037,109611.34386163752
1672534440,A,-263930.3007483653,7780.164238249407
1672534440,B,-44784.00793611816,-146950.69633972846
1672534440,C,137221.39519080814,140851.0592799549
1672534500,A,-264031.4577191238,-19432.52802625986
1672534500,B,-15818.818208761477,-152992.6519500896
1672534500,C,114999.68351444084,160074.58499183183
1672534560,A,-263878.6204144138,-22306.41339186964
1672534560,B,-12701.924326962575,-153302.63709452993
1672534560,C,112489.44534190925,161907.30437304
1672534620,A,-262595.2561112601,23459.810751710862
1672534620,B,-60805.35981816885,-140961.99822331156
1672534620,C,148674.834665204,128300.45322323852
1672534680,A,-263946.4410569001,-21103.4697156625
1672534680,B,-14006.046712142725,-153180.73139787032
1672534680,C,113543.62779128771,161145.17993153594
1672534740,A,-220556.03386241372,138613.12529062244
1672534740,B,-146417.87912930126,-43383.34486911761
1672534740,C,194260.5012080565,5542.233588200031
1672534800,A,-188516.38435862798,177925.13565204004
1672534800,B,-152007.06099673783,10815.053660987565
1672534800,C,187314.44433725305,-48601.206686628015
1672534860,A,-246988.5802412385,87291.05971166011
1672534860,B,-117354.96004450861,-98294.72299992872
1672534860,C,183527.7939003558,66744.31486341459
1672534920,A,-304336.20354752365,-9170.18609413268
1672534920,B,167373.46847650982,-86446.75266846207
1672534920,C,-228414.95288323454,-61794.18970772654
1672534980,A,-283360.1175087237,-119116.39927842517
1672534980,B,187697.4441493388,25536.41807150355
1672534980,C,-173835.1027689206,-163460.68349528944
1672535040,A,-267295.6569028105,-153777.52788205317
1672535040,B,178747.24496732175,63791.574298013686
1672535040,C,-144898.912504938,-190444.79506260838
1672535100,A,-303808.66572165955,-25783.984229901038
1672535100,B,174639.31096520947,-71032.20698835772
1672535100,C,-223600.6061386326,-78312.1610409953
1672535160,A,-255235.1439789097,-174159.8903572327
1672535160,B,169295.702789585,86284.02595831954
1672535160,C,-124878.9330879655,-204632.1727244805
1672535220,A,-207764.64553599464,-231353.60253993192
1672535220,B,122215.76102967645,146437.59466439305
1672535220,C,-54171.71864221459,-234911.86664825896
1672535280,A,-285341.9871083599,-113896.9952342638
1672535280,B,188333.07703733988,19827.964500424685
1672535280,C,-177667.14572825294,-159137.3868988605
1672535340,A,-300584.9425861642,-55527.958454695254
1672535340,B,184112.37969242374,-41850.36268762983
1672535340,C,-211966.55393635688,-107006.30265383095
1672535400,A,-288792.8150859032,-104042.82125267033
1672535400,B,189056.14373388415,9113.58510065057
1672535400,C,-184559.608741983,-150796.38686226218
1672535460,A,-304326.97637628356,-5063.25964972894
1672535460,B,165366.77780296592,-90147.53522014241
1672535460,C,-229418.20950539724,-57663.99495078304
1672535520,A,-282776.3162092491,-153028.1549830616
1672535520,B,-124408.81983864891,159105.60796299632
1672535520,C,-6382.468129923213,-252485.21938038047
1672535580,A,-269483.18544527516,-176675.60164271164
1672535580,B,-144980.54116624797,141009.78822026338
1672535580,C,21384.71653917207,-252152.767604795
1672535640,A,-306956.2834959323,-89593.46673921494
1672535640,B,-63942.87899338838,190863.79916670907
1672535640,C,-74634.18405243565,-240003.90385868892
1672535700,A,-308542.10540275316,66805.01759536823
1672535700,B,90867.13671566467,177862.0432391196
1672535700,C,-202058.3493579955,-144675.457785265
1672535760,A,-308168.2498844666,68439.58335347717
1672535760,B,91830.33707866927,177371.4267753399
1672535760,C,-202842.03395942165,-143574.40364868843
1672535820,A,-309642.01115129504,-78644.40897467363
1672535820,B,-53040.00979582706,194060.40685176055
1672535820,C,-85506.53718082531,-236134.57921362016
1672535880,A,-306510.136522298,-91264.78207718571
1672535880,B,-65599.26614207454,190319.02854255546
1672535880,C,-72954.35636983279,-240552.43332290582
1672535940,A,-315417.8649386073,-44846.094165000555
1672535940,B,-19034.78000111987,199935.8154036349
1672535940,C,-117303.35594789938,-221367.5122925667
1672536000,A,-308576.76639575657,-83189.39834867122
1672536000,B,-57575.77835492214,192811.63953477875
1672536000,C,-81026.28906270435,-237797.23568041538
1672536060,A,-264805.8654390991,-313615.18570978503
1672536060,B,-47894.89008513229,-280414.49141045794
1672536060,C,-64906.74244091597,334352.22362770094
1672536120,A,-179370.50734686654,-372227.2467334511
1672536120,B,47087.46885548091,-281883.48034751316
1672536120,C,-160049.14067003265,302907.9823432086
1672536180,A,-203344.38784783465,-358859.03312460287
1672536180,B,22001.971836958026,-284591.0771035374
1672536180,C,-135864.22710922573,313921.8635385781
1672536240,A,-221481.9188228435,-347285.7914855979
1672536240,B,2240.4999718059116,-285158.8389368079
1672536240,C,-116354.68740109143,321223.249631773
1672536300,A,-313985.8049759442,-261437.2508253341
1672536300,B,-110787.3535221446,-261035.2773631953
1672536300,C,4339.732030384713,339191.3460077755
1672536360,A,-233408.41866394787,-338920.02760447096
1672536360,B,-11136.342698861117,-284765.78946950415
1672536360,C,-102906.80929031289,325487.18340830377
1672536420,A,-159011.67304950123,-382016.1102884494
1672536420,B,67496.31867289986,-278000.9954927724
1672536420,C,-179269.6384845737,292457.0154819019
1672536480,A,-178909.65770558218,-372464.1713077406
1672536480,B,47558.67148801278,-281811.0612607422
1672536480,C,-160500.84570781598,302679.9862033888
1672536540,A,-82888.7257392158,-407582.23966054333
1672536540,B,136764.46540081804,-252443.44946448895
1672536540,C,-241484.06834172396,245825.3183681573
1672536600,A,90087.4234548343,-410845.66569966945
1672536600,B,251621.3775990514,-142934.37063050026
1672536600,C,-331802.4851092655,105028.19320622094
1672536660,A,202574.79425524533,-372098.9054225028
1672536660,B,287599.88699411374,-42943.67078335944
1672536660,C,-350153.09759649844,-7219.382990196245
1672536720,A,249385.62608676407,-344337.5337286987
1672536720,B,291429.2693999488,7298.392187540167
1672536720,C,-346183.495320727,-59895.233463633216
1672536780,A,174228.79426622315,-385247.78768252727
1672536780,B,281502.35788681294,-71213.57527018225
1672536780,C,-348836.9542933051,23070.43971117684
1672536840,A,93736.8059028284,-409941.4742748289
1672536840,B,251465.42445226497,-142937.66933303338
1672536840,C,-332310.41795004846,103024.02211875013
1672536900,A,87574.76980330383,-411128.370185687
1672536900,B,248480.60662878543,-147903.87840963
1672536900,C,-330338.600873738,108784.4137920002
1672536960,A,89736.71168337046,-410722.63503409346
1672536960,B,249535.47543462412,-146174.3706675746
1672536960,C,-331040.0356196415,106772.14333209585
1672537020,A,144645.11758386492,-396385.84066073265
1672537020,B,272510.32601666125,-99038.71680834166
1672537020,C,-344842.14940395305,53488.75967364297
1672537080,A,99922.9304146384,-408653.8596980024
1672537080,B,254372.51751907947,-137872.9456645687
1672537080,C,-334193.6623566584,97192.1777924541
1672537140,A,74654.69563023922,-413309.3198485494
1672537140,B,241923.37604022332,-158086.51081241688
1672537140,C,-325897.63580434705,120694.33096664415
1672537200,A,154966.46967958534,-392744.0262206605
1672537200,B,275735.27201276185,-90040.76855555046
1672537200,C,-346442.04441856465,43350.2244417103
1672537260,A,331161.8842983655,-271404.6636300821
1672537260,B,272899.98936851445,106634.28489716213
1672537260,C,-314655.5735944928,-161183.04548208398
1672537320,A,277576.73354050104,-323148.0452899901
1672537320,B,289457.35816135857,37416.23862951966
1672537320,C,-339569.9052028704,-92358.40771070716
1672537380,A,371563.6728165123,-216236.70966094703
1672537380,B,245873.4253784709,160779.2666640237
1672537380,C,-280867.5681087072,-216737.57906036024
1672537440,A,394835.2023173053,-173377.45198868454
1672537440,B,219142.7840224307,196613.45884549883
1672537440,C,-250471.83655189408,-252603.0835618139
1672537500,A,305827.4202628974,-297951.6393938876
1672537500,B,283568.6254085703,71013.2316433225
1672537500,C,-328970.67148630327,-126913.0132574616
1672537560,A,379185.53229161573,-203574.0678664982
1672537560,B,237800.78781036762,172921.30785837927
1672537560,C,-271816.5461977876,-228557.02720935442
1672537620,A,405891.5738958902,-148198.90045214377
1672537620,B,200504.37061474475,216221.7157268669
1672537620,C,-230568.54965416982,-271784.78804303345
1672537680,A,435343.5840017503,-20378.26508021164
1672537680,B,97004.2819884979,280424.8413686471
1672537680,C,-121698.07870344116,-337917.11648829334
1672537740,A,431484.11493588437,-54065.457316808956
1672537740,B,126097.18746062943,268073.2053373606
1672537740,C,-151898.2550905466,-324675.01262129773
1672537800,A,428830.9360432776,-69438.69062380405
1672537800,B,138997.63125843724,261368.00133920703
1672537800,C,-165356.7490594717,-317663.1463247149
1672537860,A,429084.4470596864,-67797.50795120353
1672537860,B,138504.7582852973,261594.16223601493
1672537860,C,-164310.31328583896,-318181.46084973385
1672537920,A,436205.62693556485,-4174.681541194235
1672537920,B,83595.28139327964,284892.6159827444
1672537920,C,-107245.30984657905,-343076.943034935
1672537980,A,401465.8983062577,184349.86518678875
1672537980,B,-94207.35874097474,284485.98059056915
1672537980,C,78375.45634990331,-355012.13004545245
1672538040,A,367626.1919428919,248761.4480826719
1672538040,B,-156395.3884377336,256877.4882258
1672538040,C,146209.84862384552,-334578.9060231522
1672538100,A,390768.7469779439,207617.83447189772
1672538100,B,-116617.25827627644,276452.33965767827
1672538100,C,102580.00929306589,-349349.98216730973
1672538160,A,285583.18144487543,344638.493978141
1672538160,B,-244428.5540045622,178405.88526932072
1672538160,C,250369.1784823599,-269548.0153219741
1672538220,A,304421.6746618019,327084.31661602523
1672538220,B,-229123.67206621205,197090.9322244307
1672538220,C,231053.376540707,-285553.27178628335
1672538280,A,361787.94814450346,257715.233592441
1672538280,B,-164942.31087069924,251662.33979050073
1672538280,C,155792.3447049442,-330481.26992003265
1672538340,A,370300.40312578925,244497.26638128818
1672538340,B,-152312.6631552477,259233.5987837386
1672538340,C,141665.94433628122,-336409.7157707809
1672538400,A,350089.2774961743,274358.132091394
1672538400,B,-180712.4191607453,240962.50842151418
1672538400,C,173672.71963548314,-321946.5600699693
1672538460,A,296808.10032010055,334423.7411634384
1672538460,B,-235588.01052079987,189567.1829424259
1672538460,C,239115.88312569523,-279141.51759398816
1672538520,A,251575.59064374623,371725.8060633729
1672538520,B,-266630.9906456929,144455.0769373394
1672538520,C,280316.7413249108,-239701.1322110282
1672538580,A,104386.8300523121,441552.45167402615
1672538580,B,-305710.5086629502,-2790.6448881057927
1672538580,C,358306.56050494954,-101700.63865957649
1672538640,A,-39299.84541911941,456402.93747385754
1672538640,B,-276704.48219409457,-135172.0269228148
1672538640,C,373781.8731817809,38160.72629630516
1672538700,A,-176927.88683984437,427207.94529455807
1672538700,B,-196262.65241410263,-240175.85548809683
1672538700,C,338352.0137014507,170643.07040628316
1672538760,A,-167264.09352758536,430745.1052543661
1672538760,B,-203586.34071675022,-233784.96189985515
1672538760,C,342540.0094753579,161518.37374469504
1672538820,A,-288548.0338446831,366333.5420587617
1672538820,B,-91563.9079136448,-298465.5973175864
1672538820,C,267568.20695403614,272490.2808510414
1672538880,A,-214538.1620070332,411032.89862406446
1672538880,B,-165230.99865746545,-263257.6019711515
1672538880,C,319306.9736761528,205813.0734055331
1672538940,A,-122621.31613883686,444036.3349963366
1672538940,B,-234086.2502473219,-202120.63776970995
1672538940,C,358432.3166953193,118915.70023670077
1672539000,A,-298980.5443888368,358399.1916743491
1672539000,B,-79695.01677750051,-302068.9182747914
1672539000,C,258486.0903030188,281533.93207281
1672539060,A,-361311.6841252358,299653.35927318415
1672539060,B,441.18385107348377,-313787.71869166143
1672539060,C,192267.4996447528,332635.3814121801
1672539120,A,-388015.6522950164,266517.2555666053
1672539120,B,40661.3813766947,-311836.7702198698
1672539120,C,155665.87948320707,352347.8619128707
1672539180,A,-421358.50207692065,214207.53875170837
1672539180,B,98200.0273997985,-299818.859487214
1672539180,C,98962.40290983419,373790.97809407604
1672539240,A,-404218.8860691959,242981.06388418135
1672539240,B,67421.2437497527,-307641.50019319117
1672539240,C,129977.39355154568,363327.0444927137
1672539300,A,-410408.1531478001,233116.3984142724
1672539300,B,78207.638390634,-305274.36499023915
1672539300,C,119297.93881387902,367261.8919798609
1672539360,A,-427864.463110692,201926.26870567838
1672539360,B,110715.11445551063,-295670.00351268664
1672539360,C,85848.53836200034,377356.9172142221
1672539420,A,-437804.17245626,181210.92616502612
1672539420,B,130762.25105784318,-287764.94471943966
1672539420,C,64057.959548873885,382192.73476133414
1672539480,A,-377575.4461670468,280208.778032981
1672539480,B,24404.771892393328,-313247.25014931674
1672539480,C,170721.11416763617,344851.71407772973
1672539540,A,-324426.3221928166,336971.2870107749
1672539540,B,-49050.41124751241,-309068.9316630617
1672539540,C,234150.2509247294,303053.13148484094
1672539600,A,-292926.2689774625,362854.7225521418
1672539600,B,-88475.16353702436,-299356.37607286585
1672539600,C,264476.00654762617,275437.15426577424
1672539660,A,-340568.7242987491,181528.93023686926
1672539660,B,213849.09106253678,-97255.62909948772
1672539660,C,253432.08643807887,-163445.5326507452
1672539720,A,-383314.66204127314,70917.7791163713
1672539720,B,235518.70200749586,24491.359646016976
1672539720,C,300189.69883455953,-50791.56953131706
1672539780,A,-391881.6703764354,-32073.80077590295
1672539780,B,202107.0680577944,126440.07920862541
1672539780,C,301960.2207643907,55119.0271083343
1672539840,A,-392021.897886049,-24101.35383861443
1672539840,B,207529.28637124106,116816.15917884091
1672539840,C,303179.8255308256,45552.49378591373
1672539900,A,-384179.54932133824,65974.5710686812
1672539900,B,235210.10723954657,26800.162054462
1672539900,C,300705.17499011557,-47232.223091021544
1672539960,A,-377324.4973186922,-119870.56490911036
1672539960,B,142341.08574825298,192794.52995982507
1672539960,C,275111.1134520392,140474.34292503225
1672540020,A,-392209.10765490634,-5152.843675924935
1672540020,B,215643.31448823315,100533.06166979301
1672540020,C,305029.98422312574,27048.678322771637
1672540080,A,-358359.7925866407,-173229.19611334524
1672540080,B,87643.20344657256,224219.18610249276
1672540080,C,244018.37856265897,192078.86103558674
1672540140,A,-383239.61013341777,-97517.75470009405
1672540140,B,157315.1317987468,180601.32174589566
1672540140,C,283845.67252616026,121225.91616927944
1672540200,A,-383334.11495020456,-97086.86743422529
1672540200,B,157656.67374663553,180294.05374309715
1672540200,C,284015.6302857273,120800.59653597492
1672540260,A,-408979.85389188415,64304.74430885916
1672540260,B,-81258.88816914757,245557.33539370453
1672540260,C,295083.0574666602,143088.87676617503
1672540320,A,-415223.280564912,-43590.92140165974
1672540320,B,-176036.4577346228,191852.86658879076
1672540320,C,234052.88637320095,233412.3344118459
1672540380,A,-396507.3578784984,-140725.57609769906
1672540380,B,-236640.1630730616,112403.14363297352
1672540380,C,155151.73177848395,294597.5204767404
1672540440,A,-415508.82710490917,-39337.73265784195
1672540440,B,-172784.66980592711,194695.25164719575
1672540440,C,236989.19706394768,230281.88813469143
1672540500,A,-389159.72109575255,-161847.1520899438
1672540500,B,-245813.9799281587,91649.60527063413
1672540500,C,135050.18429772754,304935.5977907056
1672540560,A,-370483.5584993778,-204125.2481067818
1672540560,B,-258935.00240028772,46635.131892761936
1672540560,C,91511.44650020919,321882.11010098265
1672540620,A,-364258.2020540175,-215901.20414698994
1672540620,B,-261206.27790994922,33298.86630599771
1672540620,C,78570.39676624232,325620.50223433925
1672540680,A,-296563.6909557493,-307530.89528108446
1672540680,B,-252359.20157211288,-81578.95457458924
1672540680,C,-35942.139181770035,335882.1886159332
1672540740,A,-373651.8094661964,-197765.95719001355
1672540740,B,-257444.61903938113,53694.030677696326
1672540740,C,98333.40980935143,319680.5825026594
1672540800,A,-386893.2676840647,-167712.86076927168
1672540800,B,-248067.49024592133,85677.24742883442
1672540800,C,129263.82397973836,307599.67477559095
1672540860,A,-455567.7604135583,39235.29239757322
1672540860,B,-60618.93761466702,-292137.76633886725
1672540860,C,64648.347702591105,364372.76730695966
1672540920,A,-458291.2661996127,5880.017180565419
1672540920,B,-28627.44127221556,-297539.9537475217
1672540920,C,31991.121581332747,369488.4844895515
1672540980,A,-456525.1777786188,-60049.61576937969
1672540980,B,35300.83966380121,-297927.5466559438
1672540980,C,-33147.57973367381,370992.11554428615
1672541040,A,-458600.01927690895,-2806.422948444961
1672541040,B,-20237.288083683885,-298372.48383665393
1672541040,C,23436.037599026084,370339.7327613951
1672541100,A,-445570.02319160063,-124257.03345908636
1672541100,B,97152.11218067205,-285000.53766532784
1672541100,C,-96775.13418895417,361324.18924119964
1672541160,A,-411816.072043188,-217711.57958933298
1672541160,B,182995.20464532834,-241235.40826492442
1672541160,C,-188354.4548804108,326005.7635069327
1672541220,A,-451059.50804913184,-98647.71481278886
1672541220,B,72632.06357561871,-291759.4532531762
1672541220,C,-71432.8543418265,366522.96882677055
1672541280,A,-456423.24961284973,-61070.27620029251
1672541280,B,36291.75788578334,-297825.7282209263
1672541280,C,-34167.65139739199,370924.29016942234
1672541340,A,-458328.77062308986,5029.846551612115
1672541340,B,-27806.746187110723,-297631.94073071756
1672541340,C,31147.23838628544,369580.9123803257
1672541400,A,-442992.1210825395,-134325.62462084848
1672541400,B,106711.02517173624,-281748.16773218603
1672541400,C,-106727.73880776924,358775.94664766797
1672541460,A,-475546.24955592264,-38479.846878318654
1672541460,B,250264.33956384214,-193084.38116141173
1672541460,C,-127417.83417489701,367606.3063291598
1672541520,A,-472826.50884881645,-71219.68636051772
1672541520,B,268625.3403014723,-167646.4162694729
1672541520,C,-157656.3863924878,356562.6380668915
1672541580,A,-468224.15280873084,-101785.14348971362
1672541580,B,283529.68238159554,-142154.50227181357
1672541580,C,-185195.91489559723,343923.66750175727
1672541640,A,-448033.60908016947,-176776.8597079553
1672541640,B,309911.66857288737,-73322.05169440713
1672541640,C,-249202.84665657606,303218.6640360758
1672541700,A,-350079.5844875493,-339802.90654997475
1672541700,B,303525.3413122836,106708.69345720277
1672541700,C,-364509.04895359447,157739.22212313765
1672541760,A,-286160.728027114,-398792.04327612225
1672541760,B,266920.5567184081,182459.86204341683
1672541760,C,-392041.2319403538,76524.47644537008
1672541820,A,-243712.0710115231,-428073.7771038873
1672541820,B,236496.90669672584,221838.45747882687
1672541820,C,-399903.2006927318,26371.344730865294
1672541880,A,19526.761941866058,-501578.674788599
1672541880,B,980.8743496609051,329253.83648326865
1672541880,C,-335213.5826871879,-232382.970833763
1672541940,A,98693.21493970319,-494945.2428939374
1672541940,B,-75089.85068827389,322081.71848783357
1672541940,C,-286486.89934916096,-293247.04779851995
1672542000,A,72180.82459319796,-498570.4215069759
1672542000,B,-49694.80079066852,326464.4425850638
1672542000,C,-304165.4176572324,-273820.7731922459
1672542060,A,-82877.57334758085,-494908.14044129173
1672542060,B,53056.48665290199,326255.07901553035
1672542060,C,-374912.654948079,-162237.70019303617
1672542120,A,-29398.11331691448,-502779.7428537058
1672542120,B,1506.0729549744647,331522.2412666735
1672542120,C,-352019.7656765721,-210015.69712959492
1672542180,A,85772.0130713046,-500291.4039564707
1672542180,B,-107675.19120356205,315794.74779426225
1672542180,C,-283818.5113171965,-299908.8893412957
1672542240,A,93648.24480988178,-499155.6542722107
1672542240,B,-114929.07758341062,313384.4813242828
1672542240,C,-278235.0287421605,-305377.41986803326
1672542300,A,27764.043200677766,-504830.28682613355
1672542300,B,-53256.8202808838,328282.0942587596
1672542300,C,-321295.3642493646,-256932.29768966074
1672542360,A,182521.06335536073,-477323.18509151373
1672542360,B,-193458.58719972696,274103.78274352103
1672542360,C,-207220.2112645042,-360176.484584494
1672542420,A,140410.08830862064,-489780.53514277405
1672542420,B,-157100.7790884811,295515.7698565038
1672542420,C,-242740.1617543296,-335832.552391924
1672542480,A,153448.3637818779,-486342.1624121037
1672542480,B,-168542.17583179005,289433.6224163874
1672542480,C,-232112.9635626621,-343692.17550010403
1672542540,A,122169.94749640026,-493980.21017518727
1672542540,B,-140848.3065264998,303214.91569907416
1672542540,C,-257073.95983977223,-324363.6909220399
1672542600,A,168767.0697532752,-481826.48315415904
1672542600,B,-181778.97513901984,281663.3214273008
1672542600,C,-219206.761127339,-352560.02587767574
1672542660,A,309656.33713031845,-413490.6004939583
1672542660,B,-292944.3148071369,170072.68545065448
1672542660,C,-74794.85264034873,-413181.06750142795
1672542720,A,470816.7558261507,-232816.1870180222
1672542720,B,-338833.8036390418,-56010.71584281355
1672542720,C,161000.68528997782,-394946.91802457074
1672542780,A,511702.39913398016,-134426.74645162205
